Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.550000190734863,5.599999904632568,5.533332824707031,5.5833330154418945,3.3035523891448975,985500
1996-01-02,5.466666221618652,5.566666126251221,5.288887977600098,5.372221946716309,3.178642988204956,7470000
1996-01-03,5.133333206176758,5.254444122314453,5.101110935211182,5.199999809265137,3.076741933822632,15160500
1996-01-04,5.199999809265137,5.332221984863281,5.144443988800049,5.29777717590332,3.1345951557159424,12397500
1996-01-05,5.29777717590332,5.277777194976807,5.188888072967529,5.202221870422363,3.0780575275421143,5008500
1996-01-08,5.202221870422363,5.238887786865234,5.011110782623291,5.042222023010254,2.9833874702453613,12645000
1996-01-09,5.042222023010254,5.108888149261475,4.983333110809326,5.02888822555542,2.975498914718628,8968500
1996-01-10,5.02888822555542,5.111111164093018,4.977777004241943,5.012221813201904,2.96563720703125,2988000
1996-01-11,5.012221813201904,5.043333053588867,4.988887786865234,5.038887977600098,2.981415033340454,2227500
1996-01-12,5.038887977600098,5.133333206176758,5.02222204208374,5.088888168334961,3.010998487472534,4806000
1996-01-15,5.088888168334961,5.111111164093018,5.027777194976807,5.0344438552856445,2.978785276412964,2020500
1996-01-16,5.0344438552856445,5.067777156829834,5.0,5.018887996673584,2.9695818424224854,3082500
1996-01-17,5.018887996673584,5.0444440841674805,5.002222061157227,5.017776966094971,2.9689230918884277,3078000
1996-01-18,5.017776966094971,4.997776985168457,4.888887882232666,4.955554962158203,2.9321084022521973,5148000
1996-01-19,4.955554962158203,4.966666221618652,4.627777099609375,4.741110801696777,2.8052263259887695,16128000
1996-01-22,4.741110801696777,4.77555513381958,4.645555019378662,4.70777702331543,2.785503625869751,3946500
1996-01-23,4.70777702331543,4.747776985168457,4.377777099609375,4.416666030883789,2.613257884979248,7947000
1996-01-24,4.416666030883789,4.477777004241943,4.150000095367432,4.225554943084717,2.500181198120117,15763500
1996-01-25,4.225554943084717,4.222221851348877,4.144443988800049,4.18222188949585,2.4745419025421143,8140500
1996-01-26,4.18222188949585,4.18222188949585,4.18222188949585,4.18222188949585,2.4745419025421143,0
1996-01-29,4.18222188949585,4.505555152893066,4.167777061462402,4.416666030883789,2.613257884979248,9639000
1996-01-30,4.416666030883789,4.82111120223999,4.440000057220459,4.6922221183776855,2.776299476623535,15669000
1996-01-31,4.6922221183776855,4.650000095367432,4.460000038146973,4.516665935516357,2.6724259853363037,9598500
1996-02-01,4.516665935516357,4.866665840148926,4.52222204208374,4.79777717590332,2.8387539386749268,12573000
1996-02-02,4.887776851654053,5.444444179534912,4.8444437980651855,5.347776889801025,3.164179801940918,28179000
1996-02-05,5.347776889801025,5.888887882232666,5.355555057525635,5.621110916137695,3.325904607772827,18873000
1996-02-06,5.733333110809326,5.776666164398193,5.412221908569336,5.567777156829834,3.2943496704101562,14112000
1996-02-07,5.488887786865234,5.599999904632568,5.335555076599121,5.485555171966553,3.2456986904144287,13968000
1996-02-08,5.5555548667907715,6.062222003936768,5.488887786865234,6.062222003936768,3.5869030952453613,21955500
1996-02-09,6.062222003936768,6.396666049957275,6.068888187408447,6.262221813201904,3.7052390575408936,12181500
1996-02-12,6.3444437980651855,6.3444437980651855,6.0,6.065555095672607,3.5888750553131104,14436000
1996-02-13,6.065555095672607,6.288887977600098,6.0,6.210000038146973,3.674340009689331,11718000
1996-02-14,6.311110973358154,6.588888168334961,6.311110973358154,6.4033331871032715,3.788731336593628,9598500
1996-02-15,6.4033331871032715,6.644443988800049,6.3333330154418945,6.466666221618652,3.8262040615081787,16924500
1996-02-16,6.311110973358154,6.488887786865234,6.15555477142334,6.274444103240967,3.712470293045044,12861000
1996-02-19,6.27555513381958,6.388887882232666,6.266665935516357,6.27222204208374,3.7111549377441406,5913000
1996-02-20,6.3333330154418945,6.3333330154418945,5.866665840148926,5.996665954589844,3.5481138229370117,9823500
